,Date,Open_snp,High_snp,Low_snp,Close_snp,Volume_snp,Name_snp
518,2014-09-05,143.64,144.32,143.15,144.2,1989529.0,MMM
519,2014-09-08,144.41,145.45,144.11,144.89,2446144.0,MMM
520,2014-09-09,144.7,145.26,144.24,144.46,1745351.0,MMM
521,2014-09-10,144.63,144.99,144.0,144.64,1558786.0,MMM
522,2014-09-11,143.99,144.38,143.6,144.35,1465360.0,MMM
523,2014-09-12,144.45,144.45,143.5,143.94,2135444.0,MMM
524,2014-09-15,144.17,144.69,143.66,144.48,1867980.0,MMM
525,2014-09-16,143.8,144.99,143.59,144.85,1945076.0,MMM
526,2014-09-17,144.92,145.79,144.27,145.37,2757021.0,MMM
527,2014-09-18,145.7,147.06,145.69,146.84,2367082.0,MMM
528,2014-09-19,147.42,147.87,146.52,146.69,8106210.0,MMM
529,2014-09-22,146.92,147.0,145.5,145.71,2231009.0,MMM
530,2014-09-23,145.23,145.6,144.35,144.37,2052024.0,MMM
531,2014-09-24,144.17,145.12,143.72,144.88,2608246.0,MMM
532,2014-09-25,144.41,144.46,142.07,142.48,2764211.0,MMM
533,2014-09-26,142.52,142.89,140.98,142.42,3557713.0,MMM
534,2014-09-29,140.94,142.34,140.66,142.19,2848278.0,MMM
535,2014-09-30,142.5,142.9,141.28,141.68,2679206.0,MMM
536,2014-10-01,141.16,141.67,138.72,139.18,2925861.0,MMM
537,2014-10-02,138.57,139.32,137.95,138.67,3223934.0,MMM
538,2014-10-03,139.33,140.45,138.57,140.17,3514097.0,MMM
539,2014-10-06,140.55,141.28,139.59,140.34,2464699.0,MMM
540,2014-10-07,138.82,140.18,137.66,137.68,3145016.0,MMM
541,2014-10-08,138.25,141.48,137.72,141.41,4137781.0,MMM
542,2014-10-09,141.15,141.5,138.33,138.64,3769325.0,MMM
543,2014-10-10,139.33,139.6,133.82,133.83,7370347.0,MMM
544,2014-10-13,134.26,135.35,131.01,132.9,4583764.0,MMM
545,2014-10-14,133.65,135.94,133.21,134.18,3644279.0,MMM
546,2014-10-15,132.56,134.64,130.6,134.22,4794670.0,MMM
547,2014-10-16,133.42,135.97,132.75,135.05,3497195.0,MMM
548,2014-10-17,135.75,137.85,135.75,137.4,3749126.0,MMM
549,2014-10-20,137.15,137.75,136.76,137.6,2782534.0,MMM
550,2014-10-21,138.4,141.1,138.34,140.93,3081162.0,MMM
551,2014-10-22,140.9,141.09,138.7,138.95,4294426.0,MMM
552,2014-10-23,141.92,147.92,141.92,145.05,7428392.0,MMM
553,2014-10-24,145.0,148.79,144.81,148.59,4480881.0,MMM
554,2014-10-27,148.09,149.71,147.34,149.56,2844113.0,MMM
555,2014-10-28,149.83,151.13,149.56,151.06,2368229.0,MMM
556,2014-10-29,151.39,151.73,150.2,151.01,2060649.0,MMM
557,2014-10-30,150.49,152.4,150.0,152.1,1836508.0,MMM
